@Username,Tweet,Lokasi
eradotid,Sandiaga Uno membeberkan alasannya https://t.co/KBUxIqwo9X,Jakarta Capital Region
harrispradana_,"yang saya tahu juga ada Sandiaga Uno, yang saya tahu juga ada Pak Mahfud MD,"" ucap Jokowi, Jumat (17/2). #KitaGerindra #IkutPakde Prabowo Subianto",
rmol_id,"Gubernur Jawa Barat itu meraih tingkat elektabilitas tertinggi sebagai capres alternatif dengan meraih 22,7 persen. Diikuti Sandiaga Uno di peringkat kedua dengan 7,3 persen dan Agus Harimurti Yudhoyono dengan 5,8 persen.

https://t.co/XSbHBej9Xv",Indonesia
serambinews,"Momen Anies Baswedan dan Sandiaga Uno Salam Komando dalam Tasyakur Milad BKMT
 
https://t.co/KDyCa68WvO via @serambinews",Aceh
kristariyanto68,"Survei Litbang Kompas: Ganjar Pranowo di Puncak, Sandiaga Uno Mengungguli Agus Harimurti Yudhoyono https://t.co/qicu7Vre7Q",
AyaniMel,"Anies enak, krn tdk perlu bayar hutang pada sandiaga uno https://t.co/WpjOVR5VaY",
harrispradana_,"Menparekraf Sandiaga Uno 2,1%, Ketua Umum PKB Muhaimin Iskandar 1,2%. #KitaGerindra #IkutPakde Prabowo Subianto",
poskotanetwork,"Sandiaga Uno mendesak ""Hari Kejepit Nasional"" atau ""harpitnas"" menjadi hari libur nasional, dan diusulkan untuk dilaksanakan dua kali pada tahun 2023. 

Sandiaga mengusulkan menjadikan ""hari kejepit"" sebagai hari libur nasional yang resmi diakui pemerintah. 

#sandiagauno https://t.co/0wG3iTuxWh","Jakarta, Indonesia"
nusabalicom,Sandi Berharap Harga Tiket Pesawat Turun https://t.co/67b6TWxq06 #HargaTiketPesawat #TiketPesawat #SandiagaUno #Menparekraf #berita #nusabali,"Denpasar, Bali"
nusabalicom,RI Tak Berlakukan Bea Masuk Wisman https://t.co/AUOx7IAvwn #Wisman #berita #nusabali #Pariwisata #Menparekraf #SandiagaUno #Bea,"Denpasar, Bali"
sobat_sandi,"Harus pake cara Kekinian ✅👏

#sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif  #Indonesia #Twitter #viral #Trending #zonauang AND MORE Rabu Abu YOUR TYPE GAME STAND TOGETHER WITH BUILD Emang Fakta https://t.co/oHsUJrDpbo",
